id_ejecucion,id_ejecucion_entrenamiento,metrica,valor
shap-20260806T185055850302Z-3718c6f78cd0,train-20260806T182522743193Z-0ff755676203,Exactitud,0.9700598802395209
shap-20260806T185055850302Z-3718c6f78cd0,train-20260806T182522743193Z-0ff755676203,Exactitud balanceada,0.9774603174603174
shap-20260806T185055850302Z-3718c6f78cd0,train-20260806T182522743193Z-0ff755676203,F1 macro,0.9650287369284278
