id_ejecucion,id_ejecucion_entrenamiento,categoria_ss_ekmeans,categoria_sustituto,concordancia,cantidad,porcentaje_total
shap-20260806T185055850302Z-3718c6f78cd0,train-20260806T182522743193Z-0ff755676203,A,A,True,165,19.831730769230766
shap-20260806T185055850302Z-3718c6f78cd0,train-20260806T182522743193Z-0ff755676203,A,B,False,1,0.1201923076923077
shap-20260806T185055850302Z-3718c6f78cd0,train-20260806T182522743193Z-0ff755676203,A,C,False,0,0.0
shap-20260806T185055850302Z-3718c6f78cd0,train-20260806T182522743193Z-0ff755676203,B,A,False,3,0.3605769230769231
shap-20260806T185055850302Z-3718c6f78cd0,train-20260806T182522743193Z-0ff755676203,B,B,True,247,29.6875
shap-20260806T185055850302Z-3718c6f78cd0,train-20260806T182522743193Z-0ff755676203,B,C,False,0,0.0
shap-20260806T185055850302Z-3718c6f78cd0,train-20260806T182522743193Z-0ff755676203,C,A,False,7,0.8413461538461539
shap-20260806T185055850302Z-3718c6f78cd0,train-20260806T182522743193Z-0ff755676203,C,B,False,0,0.0
shap-20260806T185055850302Z-3718c6f78cd0,train-20260806T182522743193Z-0ff755676203,C,C,True,409,49.15865384615385
