categoria,publication_id,probabilidad_predicha,valor_base,probabilidad_reconstruida,error_aditividad,feature,feature_value,shap_value
A,MLC1882033437,0.9583322425470239,0.18004210385976527,0.9583322425470239,0.0,visitas_30d,84,0.3801006328896217
A,MLC1882033437,0.9583322425470239,0.18004210385976527,0.9583322425470239,0.0,ventas_30d,2,0.31196868164628944
A,MLC1882033437,0.9583322425470239,0.18004210385976527,0.9583322425470239,0.0,precio_actual,9999,0.08622082415134746
B,MLC1887635501,0.9792288299355001,0.35972422408792115,0.9792288299355,1.1102230246251565e-16,precio_actual,29999,0.50403749558107
B,MLC1887635501,0.9792288299355001,0.35972422408792115,0.9792288299355,1.1102230246251565e-16,visitas_30d,0,0.11546711026650885
B,MLC1887635501,0.9792288299355001,0.35972422408792115,0.9792288299355,1.1102230246251565e-16,ventas_30d,0,0.0
C,MLC1887635547,0.9875010524406244,0.4602336720523138,0.9875010524406244,0.0,precio_actual,9999,0.3548773722611142
C,MLC1887635547,0.9875010524406244,0.4602336720523138,0.9875010524406244,0.0,visitas_30d,1,0.17239000812719635
C,MLC1887635547,0.9875010524406244,0.4602336720523138,0.9875010524406244,0.0,ventas_30d,0,0.0
