tamano_solicitado,repeticiones,latencia_total_media_s,latencia_total_mediana_s,latencia_total_desviacion_s,latencia_total_minima_s,latencia_total_maxima_s,tiempo_shap_mediano_s,segundos_por_producto_mediana,productos_por_minuto_mediana,sobrecarga_api_mediana_s,error_aditividad_maximo
1,3,52.977215599998694,46.5084846000027,13.6733630917616,43.73851019999711,68.68465199999628,4.391,46.5084846000027,1.2900871855110176,42.6674846000027,2.0816681711721685e-17
10,3,96.19383373333403,87.5438049000004,17.719878276075008,84.46030410000094,116.57739220000076,41.912,8.75438049000004,6.853711701077746,45.6318049000004,1.1102230246251565e-16
50,3,307.77014683333255,350.5583614999996,107.35623364624773,185.61772760000167,387.1343513999964,280.185,7.011167229999992,8.557776192139134,43.931727600001665,1.3114509478384662e-15
100,3,366.9477159333328,340.5427428000039,54.33018236395011,330.8668202999979,429.4335846999966,313.275,3.405427428000039,17.618933678242314,44.21282029999793,1.3114509478384662e-15
