prueba,variable,descripcion,grupo_1,grupo_2,n_1,n_2,media_1,media_2,mediana_1,mediana_2,estadistico_u,p_valor,delta_cliff,magnitud_efecto,p_ajustado_holm,diferencia_significativa,interpretacion
Mann-Whitney U,visitas_30d,Visitas de A sin ventas,A directo,A fronterizo,63,49,15.3650793651,5.04081632653,13,4,2932,2.51258760856e-16,0.899578879171,grande,5.02517521713e-16,True,Diferencia estadísticamente significativa; revisar además la magnitud y el signo de delta de Cliff
Mann-Whitney U,precio_actual,Precio de A sin ventas,A directo,A fronterizo,63,49,18665.0793651,21598.9183673,19999,19999,1230,0.0568012445059,-0.203109815355,pequeño,0.0568012445059,False,No se detectó una diferencia estadísticamente significativa
