categoria,ventas_log_estandarizada,visitas_log_estandarizada,precio_estandarizado
A,0.95580677969,1.50832136987,-0.380465213668
B,-0.238234122265,-0.165661375656,1.14558147187
C,-0.238234122265,-0.502322123759,-0.536630150234
