publication_id,ventas_30d,visitas_30d,precio_actual,categoria_ss_ekmeans,centroide_mas_cercano,coincide_centroide_mas_cercano,margen_asignacion,grupo_interpretacion,ventas_log_estandarizada,visitas_log_estandarizada,precio_estandarizado,distancia_centroide_A,distancia_centroide_B,distancia_centroide_C,score_inicial,categoria_score
MLC1882021611,0,77,34990,A,A,True,5.29414573926,compatible_directamente,-0.238234122265,3.07951176871,0.822462774678,2.31114878147,3.2612197763,3.83101391433,1.131475,A
MLC1967389483,0,37,19999,A,A,True,6.38998260446,compatible_directamente,-0.238234122265,2.43673051884,-0.331664551873,1.51329399921,2.99244037321,2.94619098711,0.819237,A
MLC3794493586,0,37,19999,A,A,True,6.38998260446,compatible_directamente,-0.238234122265,2.43673051884,-0.331664551873,1.51329399921,2.99244037321,2.94619098711,0.819237,A
MLC1949404669,0,31,19999,A,A,True,5.77228562736,compatible_directamente,-0.238234122265,2.283123731,-0.331664551873,1.42423097809,2.85986089054,2.79297681808,0.789396,A
MLC3945752680,0,30,28980,A,A,True,3.9450539525,compatible_directamente,-0.238234122265,2.25474544602,0.359764807059,1.5908560779,2.5447744523,2.89912840415,0.896133,A
MLC1949421591,0,30,9999,A,A,True,5.41771183096,compatible_directamente,-0.238234122265,2.25474544602,-1.10154469766,1.5820360929,3.30271785113,2.81434717656,0.658897,A
MLC3945379858,0,26,19999,A,A,True,5.16160209789,compatible_directamente,-0.238234122265,2.13126102351,-0.331664551873,1.3476531424,2.73095373862,2.64154710163,0.759894,A
MLC3738025160,0,25,19999,A,A,True,5.02594861138,compatible_directamente,-0.238234122265,2.09752717489,-0.331664551873,1.33239583488,2.70264282323,2.60791627016,0.753341,A
MLC3746224800,0,24,19999,A,A,True,4.88497404208,compatible_directamente,-0.238234122265,2.06247009745,-0.331664551873,1.31726838284,2.67335476062,2.57296910873,0.746531,A
MLC1882040001,0,24,12999,A,A,True,4.7166544443,compatible_directamente,-0.238234122265,2.06247009745,-0.870580653925,1.40464502014,3.00490924637,2.58644197246,0.65904,A
MLC1878110383,0,23,19999,A,A,True,4.73824384182,compatible_directamente,-0.238234122265,2.02598172924,-0.331664551873,1.3023392138,2.64302011228,2.53659836585,0.739442,A
MLC3738043124,0,23,19999,A,A,True,4.73824384182,compatible_directamente,-0.238234122265,2.02598172924,-0.331664551873,1.3023392138,2.64302011228,2.53659836585,0.739442,A
MLC3737992360,0,21,24999,A,A,True,3.85420907755,compatible_directamente,-0.238234122265,1.94820740197,0.0532755210212,1.34438254292,2.37940612323,2.52053241547,0.786826,A
MLC1887635797,0,20,19999,A,A,True,4.25827983683,compatible_directamente,-0.238234122265,1.90662590945,-0.331664551873,1.25966729194,2.54492247557,2.41765206827,0.716255,A
MLC1887635713,0,20,9999,A,A,True,4.01782326857,compatible_directamente,-0.238234122265,1.90662590945,-1.10154469766,1.45063289775,3.05678762982,2.47429971358,0.591269,B
MLC3738017696,0,19,19999,A,A,True,4.08290892114,compatible_directamente,-0.238234122265,1.86301526533,-0.331664551873,1.24656445466,2.50953874813,2.37420131007,0.707783,A
MLC3856871920,0,18,43999,A,B,False,-1.04902649608,fronteriza_por_capacidad,-0.238234122265,1.81716722106,1.51604779802,2.26227342265,2.01714018917,3.09734040428,0.998842,A
MLC1880286743,0,18,19999,A,A,True,3.89854077729,compatible_directamente,-0.238234122265,1.81716722106,-0.331664551873,1.23430180261,2.47262311293,2.3285278004,0.698876,A
MLC3765241240,0,17,29999,A,A,True,2.07881924844,compatible_directamente,-0.238234122265,1.76883972748,0.438215593915,1.4710002566,2.05977207558,2.47153805947,0.814474,A
MLC1878076599,0,16,19999,A,A,True,3.49875238121,compatible_directamente,-0.238234122265,1.71774919957,-0.331664551873,1.21324984896,2.39363556323,2.22951285648,0.679563,A
MLC1898810389,0,16,19999,A,A,True,3.49875238121,compatible_directamente,-0.238234122265,1.71774919957,-0.331664551873,1.21324984896,2.39363556323,2.22951285648,0.679563,A
MLC3960455936,0,16,18999,A,A,True,3.47470672438,compatible_directamente,-0.238234122265,1.71774919957,-0.408652566452,1.21259565324,2.44190066152,2.22375694325,0.667064,A
MLC3936773374,0,16,4999,A,A,True,3.13806752881,compatible_directamente,-0.238234122265,1.71774919957,-1.48648477056,1.64099754772,3.23651171779,2.41473403927,0.492084,B
MLC3765179168,0,15,29999,A,A,True,1.7263478043,compatible_directamente,-0.238234122265,1.66356043321,0.438215593915,1.45604639591,1.96122892884,2.37515714754,0.794021,A
MLC3738073708,0,15,8999,A,A,True,3.0163415751,compatible_directamente,-0.238234122265,1.66356043321,-1.17853271224,1.44455687829,2.95762728666,2.25900113982,0.531551,B
MLC1887672199,0,14,39999,A,B,False,-0.816532938407,fronteriza_por_capacidad,-0.238234122265,1.60587326357,1.2080957397,1.98966729633,1.77263730404,2.7365226515,0.907801,A
MLC1887635621,0,14,19999,A,A,True,3.04886713559,compatible_directamente,-0.238234122265,1.60587326357,-0.331664551873,1.19901274059,2.30664058593,2.11813566319,0.657829,A
MLC1946976869,0,14,19999,A,A,True,3.04886713559,compatible_directamente,-0.238234122265,1.60587326357,-0.331664551873,1.19901274059,2.30664058593,2.11813566319,0.657829,A
MLC1947014887,0,14,19999,A,A,True,3.04886713559,compatible_directamente,-0.238234122265,1.60587326357,-0.331664551873,1.19901274059,2.30664058593,2.11813566319,0.657829,A
MLC3746188518,0,14,9999,A,A,True,2.80841056733,compatible_directamente,-0.238234122265,1.60587326357,-1.10154469766,1.39828669083,2.8614526031,2.18257101536,0.532843,B
MLC3856850180,0,13,38395,A,B,False,-0.646098178246,fronteriza_por_capacidad,-0.238234122265,1.54420461342,1.08460696432,1.89035916413,1.71095283137,2.61087752827,0.875773,A
MLC1887672071,0,13,29999,A,A,True,1.32674863848,compatible_directamente,-0.238234122265,1.54420461342,0.438215593915,1.44819181997,1.85040757291,2.26684713002,0.770834,A
MLC3738010376,0,13,29999,A,A,True,1.32674863848,compatible_directamente,-0.238234122265,1.54420461342,0.438215593915,1.44819181997,1.85040757291,2.26684713002,0.770834,A
MLC3765241490,0,13,29999,A,A,True,1.32674863848,compatible_directamente,-0.238234122265,1.54420461342,0.438215593915,1.44819181997,1.85040757291,2.26684713002,0.770834,A
MLC1887757147,0,13,19999,A,A,True,2.80087979521,compatible_directamente,-0.238234122265,1.54420461342,-0.331664551873,1.19557634106,2.25962331269,2.05676507713,0.645848,A
MLC3738030114,0,13,19999,A,A,True,2.80087979521,compatible_directamente,-0.238234122265,1.54420461342,-0.331664551873,1.19557634106,2.25962331269,2.05676507713,0.645848,A
MLC1949396233,0,13,9999,A,A,True,2.56042322695,compatible_directamente,-0.238234122265,1.54420461342,-1.10154469766,1.39534114286,2.82368867306,2.12306385488,0.520863,B
MLC3738073710,0,11,19999,A,A,True,2.24680201464,compatible_directamente,-0.238234122265,1.40641843146,-0.331664551873,1.19937458244,2.15724146413,1.91971388588,0.619081,A
MLC1946989125,0,11,4999,A,A,True,1.88611716225,compatible_directamente,-0.238234122265,1.40641843146,-1.48648477056,1.63076581538,3.06581271842,2.1320211788,0.431602,B
MLC1955715775,0,11,4999,A,A,True,1.88611716225,compatible_directamente,-0.238234122265,1.40641843146,-1.48648477056,1.63076581538,3.06581271842,2.1320211788,0.431602,B
MLC3794517750,0,10,24999,A,A,True,1.77993253703,compatible_directamente,-0.238234122265,1.32864410418,0.0532755210212,1.2830232345,1.8509676273,1.9236491439,0.666465,A
MLC1947001663,0,10,19999,A,A,True,1.93404912442,compatible_directamente,-0.238234122265,1.32864410418,-0.331664551873,1.20846973481,2.10123884452,1.84240283987,0.603972,A
MLC3738073702,0,10,19999,A,A,True,1.93404912442,compatible_directamente,-0.238234122265,1.32864410418,-0.331664551873,1.20846973481,2.10123884452,1.84240283987,0.603972,A
MLC1952311563,0,10,9999,A,A,True,1.69359255616,compatible_directamente,-0.238234122265,1.32864410418,-1.10154469766,1.40640435778,2.69861536511,1.91613302611,0.478986,B
MLC1982207629,0,10,9999,A,A,True,1.69359255616,compatible_directamente,-0.238234122265,1.32864410418,-1.10154469766,1.40640435778,2.69861536511,1.91613302611,0.478986,B
MLC3738030120,0,10,9999,A,A,True,1.69359255616,compatible_directamente,-0.238234122265,1.32864410418,-1.10154469766,1.40640435778,2.69861536511,1.91613302611,0.478986,B
MLC1946976871,0,9,19999,A,A,True,1.59146709396,compatible_directamente,-0.238234122265,1.24345196755,-0.331664551873,1.22403879858,2.04153281351,1.75776507941,0.587422,B
MLC3794463004,0,9,19999,A,A,True,1.59146709396,compatible_directamente,-0.238234122265,1.24345196755,-0.331664551873,1.22403879858,2.04153281351,1.75776507941,0.587422,B
MLC1887685235,0,8,34999,A,B,False,-1.17033033681,fronteriza_por_capacidad,-0.238234122265,1.1492764297,0.823155666809,1.73301764807,1.35389062768,2.13934458422,0.756606,A
MLC1919366401,0,8,32999,A,B,False,-0.700381118918,fronteriza_por_capacidad,-0.238234122265,1.1492764297,0.669179637652,1.62984700463,1.39857789901,2.0449339907,0.731608,A
MLC1887685345,0,8,29999,A,A,True,0.00454270792538,compatible_directamente,-0.238234122265,1.1492764297,0.438215593915,1.49160491059,1.49312689254,1.91783784681,0.694113,A
MLC1887757473,0,8,29999,A,A,True,0.00454270792538,compatible_directamente,-0.238234122265,1.1492764297,0.438215593915,1.49160491059,1.49312689254,1.91783784681,0.694113,A
MLC4029205684,0,8,29999,A,A,True,0.00454270792538,compatible_directamente,-0.238234122265,1.1492764297,0.438215593915,1.49160491059,1.49312689254,1.91783784681,0.694113,A
MLC3738085766,0,8,19999,A,A,True,1.21276022909,compatible_directamente,-0.238234122265,1.1492764297,-0.331664551873,1.24780946029,1.9777050454,1.66426821104,0.569127,B
MLC3738017686,0,8,4999,A,A,True,0.852075376702,compatible_directamente,-0.238234122265,1.1492764297,-1.48648477056,1.66671119418,2.94224984263,1.90525630337,0.381648,B
MLC1887672081,0,7,29999,A,B,False,-0.347928736213,fronteriza_por_capacidad,-0.238234122265,1.04399713543,0.438215593915,1.52038446945,1.4012994679,1.82795718665,0.67366,A
MLC3765179246,0,7,24999,A,A,True,0.826944308525,compatible_directamente,-0.238234122265,1.04399713543,0.0532755210212,1.35257594802,1.62984846034,1.65502022716,0.611167,A
MLC1878076597,0,7,19999,A,A,True,0.789401973017,compatible_directamente,-0.238234122265,1.04399713543,-0.331664551873,1.28207338902,1.90932698302,1.55984427038,0.548674,B
MLC1882021595,0,7,19999,A,A,True,0.789401973017,compatible_directamente,-0.238234122265,1.04399713543,-0.331664551873,1.28207338902,1.90932698302,1.55984427038,0.548674,B
MLC3738018134,0,7,19999,A,A,True,0.789401973017,compatible_directamente,-0.238234122265,1.04399713543,-0.331664551873,1.28207338902,1.90932698302,1.55984427038,0.548674,B
MLC3765179180,0,7,19999,A,A,True,0.789401973017,compatible_directamente,-0.238234122265,1.04399713543,-0.331664551873,1.28207338902,1.90932698302,1.55984427038,0.548674,B
MLC1882040003,0,7,9999,A,A,True,0.548945404756,compatible_directamente,-0.238234122265,1.04399713543,-1.10154469766,1.47013138612,2.55202855298,1.64627813483,0.423688,B
MLC1919340747,0,7,9999,A,A,True,0.548945404756,compatible_directamente,-0.238234122265,1.04399713543,-1.10154469766,1.47013138612,2.55202855298,1.64627813483,0.423688,B
MLC1980335629,0,7,9999,A,A,True,0.548945404756,compatible_directamente,-0.238234122265,1.04399713543,-1.10154469766,1.47013138612,2.55202855298,1.64627813483,0.423688,B
MLC1946989123,0,7,4999,A,A,True,0.428717120626,compatible_directamente,-0.238234122265,1.04399713543,-1.48648477056,1.69251585826,2.89673029775,1.81475261429,0.361195,C
MLC3765170192,0,6,24999,A,A,True,0.427345142704,compatible_directamente,-0.238234122265,0.924641315634,0.0532755210212,1.39805118153,1.54333802159,1.5440898155,0.58798,B
MLC3856897746,0,6,24999,A,A,True,0.427345142704,compatible_directamente,-0.238234122265,0.924641315634,0.0532755210212,1.39805118153,1.54333802159,1.5440898155,0.58798,B
MLC3965075234,0,6,10999,A,A,True,0.0930270565976,compatible_directamente,-0.238234122265,0.924641315634,-1.02455668308,1.47691228657,2.42863327207,1.50807723901,0.413,B
MLC3945754710,0,6,9990,A,A,True,0.0687649888601,compatible_directamente,-0.238234122265,0.924641315634,-1.10223758979,1.51240584639,2.49828951336,1.53497115056,0.400389,B
MLC1887710873,0,5,29999,A,B,False,-1.2088312844,fronteriza_por_capacidad,-0.238234122265,0.786855133668,0.438215593915,1.61755539943,1.18644603157,1.61626180613,0.623706,A
MLC1898810361,0,5,29999,A,B,False,-1.2088312844,fronteriza_por_capacidad,-0.238234122265,0.786855133668,0.438215593915,1.61755539943,1.18644603157,1.61626180613,0.623706,A
MLC3765241512,0,5,29999,A,B,False,-1.2088312844,fronteriza_por_capacidad,-0.238234122265,0.786855133668,0.438215593915,1.61755539943,1.18644603157,1.61626180613,0.623706,A
MLC1919366369,0,5,24999,A,C,False,-0.124411528401,fronteriza_por_capacidad,-0.238234122265,0.786855133668,0.0532755210212,1.46095113897,1.44928257796,1.41773294454,0.561213,B
MLC3765157940,0,5,24999,A,C,False,-0.124411528401,fronteriza_por_capacidad,-0.238234122265,0.786855133668,0.0532755210212,1.46095113897,1.44928257796,1.41773294454,0.561213,B
MLC3856837310,0,5,20999,A,C,False,-0.220594155706,fronteriza_por_capacidad,-0.238234122265,0.786855133668,-0.254676537294,1.40073908942,1.69352005974,1.31964989331,0.511219,B
MLC1887685201,0,5,19999,A,C,False,-0.244639812532,fronteriza_por_capacidad,-0.238234122265,0.786855133668,-0.331664551873,1.39593291748,1.75770973576,1.30536925718,0.49872,B
MLC1887698327,0,5,19999,A,C,False,-0.244639812532,fronteriza_por_capacidad,-0.238234122265,0.786855133668,-0.331664551873,1.39593291748,1.75770973576,1.30536925718,0.49872,B
MLC1887710743,0,5,19999,A,C,False,-0.244639812532,fronteriza_por_capacidad,-0.238234122265,0.786855133668,-0.331664551873,1.39593291748,1.75770973576,1.30536925718,0.49872,B
MLC1887757351,0,5,19999,A,C,False,-0.244639812532,fronteriza_por_capacidad,-0.238234122265,0.786855133668,-0.331664551873,1.39593291748,1.75770973576,1.30536925718,0.49872,B
MLC1898810367,0,5,19999,A,C,False,-0.244639812532,fronteriza_por_capacidad,-0.238234122265,0.786855133668,-0.331664551873,1.39593291748,1.75770973576,1.30536925718,0.49872,B
MLC1887672401,0,5,9999,A,C,False,-0.485096380793,fronteriza_por_capacidad,-0.238234122265,0.786855133668,-1.10154469766,1.57041485849,2.44066870392,1.40751783184,0.373734,B
MLC3765179374,0,5,9999,A,C,False,-0.485096380793,fronteriza_por_capacidad,-0.238234122265,0.786855133668,-1.10154469766,1.57041485849,2.44066870392,1.40751783184,0.373734,B
MLC1898810311,0,4,24999,A,C,False,-0.779746449081,fronteriza_por_capacidad,-0.238234122265,0.623888669758,0.0532755210212,1.54792955314,1.34778394577,1.27135339399,0.529554,B
MLC1898810399,0,4,24999,A,C,False,-0.779746449081,fronteriza_por_capacidad,-0.238234122265,0.623888669758,0.0532755210212,1.54792955314,1.34778394577,1.27135339399,0.529554,B
MLC3765170208,0,4,24999,A,C,False,-0.779746449081,fronteriza_por_capacidad,-0.238234122265,0.623888669758,0.0532755210212,1.54792955314,1.34778394577,1.27135339399,0.529554,B
MLC3765179178,0,4,24999,A,C,False,-0.779746449081,fronteriza_por_capacidad,-0.238234122265,0.623888669758,0.0532755210212,1.54792955314,1.34778394577,1.27135339399,0.529554,B
MLC3765179368,0,4,24999,A,C,False,-0.779746449081,fronteriza_por_capacidad,-0.238234122265,0.623888669758,0.0532755210212,1.54792955314,1.34778394577,1.27135339399,0.529554,B
