metrica,valor_referencia,n_validos,media,desviacion_estandar,mediana,ic_inferior,ic_superior,minimo,maximo
silhouette,0.370716590316574,100,0.36924779786503825,0.009515443784279185,0.3695101287517356,0.3488673228052902,0.38590858439971776,0.3461447951656907,0.392956523701337
davies_bouldin,1.1091268189937613,100,1.1138071528782088,0.02912073265993253,1.1128838804799859,1.0628066730546932,1.1846438874881122,1.0333015487908328,1.1894090136763282
calinski_harabasz,354.62794704176787,100,355.9680683070352,19.98357124792049,354.8964422020864,320.05634870410154,396.4734569281665,304.76585580301605,413.75650617919575
inercia,1345.1494045682039,100,1343.699418417916,34.67368623892887,1344.6820168603967,1275.741782072681,1408.4585565105021,1249.1202813155592,1438.3999902858463
ari_referencia,1.0,100,0.930730167639951,0.03700826938382998,0.9367800999467653,0.8316544832014245,0.9770335602974624,0.8004722947731673,0.9942337546886056
coincidencia_referencia,1.0,100,0.9749871292887596,0.013434389296842443,0.9772288636036295,0.9415153422415343,0.9914242240364812,0.9248554913294798,0.998046875
jaccard_A,1.0,100,0.9185031605439257,0.04062302187425589,0.9259195747234845,0.8098870056497176,0.9721070624891812,0.7711864406779662,0.9903846153846154
jaccard_B,1.0,100,0.9504298289395042,0.03395611672537665,0.9575695235296279,0.8611445783132531,0.9937728119903704,0.847457627118644,1.0
jaccard_C,1.0,100,0.96605887870942,0.020234722524702643,0.9675674622756668,0.9081495611828498,0.9943801250663677,0.8970588235294118,0.9961389961389961
cobertura_muestra,,100,0.6321033653846154,0.01037750252597576,0.6310096153846154,0.6117788461538461,0.6514423076923077,0.6081730769230769,0.6634615384615384
proporcion_comparable,,100,0.6303966346153848,0.01022793745743689,0.6298076923076923,0.6099459134615385,0.6502403846153846,0.6069711538461539,0.6550480769230769
iteraciones,9.0,100,6.73,2.5180359509953485,7.0,3.0,12.0,3.0,15.0
tiempo_segundos,,100,12.929817228000038,2.00068963964987,12.66783420000047,10.257319464999501,17.274686124999835,8.54047299999911,19.04912929999955
