corrida,random_state,max_iter,tolerancia,n_init,shuffle_unlabeled,convergio,motivo_termino,corridas_convergentes,corridas_descartadas,iteraciones,inercia,silhouette,davies_bouldin,calinski_harabasz,cantidad_A,cantidad_B,cantidad_C,tiempo_segundos,coincidencia_referencia_pct,publicaciones_diferentes,adjusted_rand_index
seed_42_repeticion_1,42,300,4.2079886696066345e-06,10,True,True,center_shift,10,0,9,1345.1494045682039,0.370716590316574,1.1091268189937613,354.62794704176787,166,250,416,7.251267499999813,100.0,0,1.0
seed_42_repeticion_2,42,300,4.2079886696066345e-06,10,True,True,center_shift,10,0,9,1345.1494045682039,0.370716590316574,1.1091268189937613,354.62794704176787,166,250,416,6.31637629999932,100.0,0,1.0
seed_42_repeticion_3,42,300,4.2079886696066345e-06,10,True,True,center_shift,10,0,9,1345.1494045682039,0.370716590316574,1.1091268189937613,354.62794704176787,166,250,416,7.081770499999038,100.0,0,1.0
seed_0,0,300,4.2079886696066345e-06,10,True,True,center_shift,10,0,10,1345.1494045682039,0.370716590316574,1.1091268189937613,354.62794704176787,166,250,416,7.368611800000508,100.0,0,1.0
seed_1,1,300,4.2079886696066345e-06,10,True,True,center_shift,10,0,7,1345.1494045682039,0.370716590316574,1.1091268189937613,354.62794704176787,166,250,416,8.535952399999587,100.0,0,1.0
seed_2,2,300,4.2079886696066345e-06,10,True,True,center_shift,10,0,6,1345.1494045682039,0.370716590316574,1.1091268189937613,354.62794704176787,166,250,416,8.283386700000847,100.0,0,1.0
seed_3,3,300,4.2079886696066345e-06,10,True,True,center_shift,10,0,7,1345.1494045682039,0.370716590316574,1.1091268189937613,354.62794704176787,166,250,416,9.740800800000216,100.0,0,1.0
seed_4,4,300,4.2079886696066345e-06,10,True,True,center_shift,10,0,4,1345.1494045682039,0.370716590316574,1.1091268189937613,354.62794704176787,166,250,416,6.619736700000431,99.27884615384616,6,0.9807351971266471
seed_5,5,300,4.2079886696066345e-06,10,True,True,center_shift,10,0,8,1345.1494045682039,0.370716590316574,1.1091268189937613,354.62794704176787,166,250,416,7.011483500000395,100.0,0,1.0
seed_6,6,300,4.2079886696066345e-06,10,True,True,center_shift,10,0,11,1345.1494045682039,0.370716590316574,1.1091268189937613,354.62794704176787,166,250,416,7.316868699999759,100.0,0,1.0
seed_7,7,300,4.2079886696066345e-06,10,True,True,center_shift,10,0,6,1345.1494045682039,0.370716590316574,1.1091268189937609,354.62794704176787,166,250,416,5.411826199999268,99.27884615384616,6,0.9807351971266471
seed_8,8,300,4.2079886696066345e-06,10,True,True,center_shift,10,0,7,1345.1494045682039,0.370716590316574,1.1091268189937613,354.62794704176787,166,250,416,6.048580900000161,100.0,0,1.0
seed_9,9,300,4.2079886696066345e-06,10,True,True,center_shift,10,0,5,1345.1494045682039,0.370716590316574,1.1091268189937613,354.62794704176787,166,250,416,5.3908835000002,99.27884615384616,6,0.9807351971266471
