publication_id,seed_42_repeticion_1,seed_42_repeticion_2,seed_42_repeticion_3,seed_0,seed_1,seed_2,seed_3,seed_4,seed_5,seed_6,seed_7,seed_8,seed_9
MLC3794493650,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3794493652,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC3794493654,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3794493658,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3794506280,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3794506282,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC3794506286,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3794506288,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC3794506290,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC3794506292,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3794506296,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC3794506298,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC3794506300,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3794506302,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3794506304,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC3794506306,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3794506312,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC3794506316,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC3794506318,A,A,A,A,A,A,A,A,A,A,A,A,A
MLC3794506320,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC3794506322,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC3794506324,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3794506326,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC3794506328,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC3794506330,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3794506332,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC3794506334,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3794506336,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC3794506338,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3794506340,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3794506344,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3794506346,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC3794506348,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3794506350,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3794506354,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC3794506356,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3794506358,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3794506360,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3794506362,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3794506364,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC3794506368,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3794506370,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC3794506372,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC3794506374,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3794506376,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3794506378,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3794506380,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC3794506382,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3794506384,A,A,A,A,A,A,A,A,A,A,A,A,A
MLC3794506386,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3794517732,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3794517734,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3794517736,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3794517738,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3794517740,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3794517742,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3794517744,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3794517746,A,A,A,A,A,A,A,A,A,A,A,A,A
MLC3794517748,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3794517750,A,A,A,A,A,A,A,A,A,A,A,A,A
MLC3794517752,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3794517754,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC3794517758,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC3794517760,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3794517764,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC3794517766,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3794517768,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3794517770,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3794517772,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3794517774,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC3794517776,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3794517778,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3794517780,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3794517782,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC3794517784,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC3794517786,B,B,B,B,B,B,B,B,B,B,A,B,B
MLC3794517788,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3794517790,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC3794517792,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC3794517794,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3794517796,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3794517798,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC3794517802,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC3794517804,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3794517806,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC3794517810,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC3794517812,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3794517814,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3794517816,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC3794517818,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3794517820,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3794517822,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3794517824,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3794517828,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3794517830,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC3794517832,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC3794517836,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC3794517838,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3794517842,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3794517846,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3794517848,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3798710954,A,A,A,A,A,A,A,A,A,A,A,A,A
MLC3820925964,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC3824539038,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3824556494,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3824629306,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3855241456,A,A,A,A,A,A,A,A,A,A,A,A,A
MLC3856837238,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC3856837244,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3856837296,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC3856837298,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC3856837300,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3856837310,A,A,A,A,A,A,A,A,A,A,A,A,A
MLC3856837312,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3856837320,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3856850174,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC3856850178,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC3856850180,A,A,A,A,A,A,A,A,A,A,A,A,A
MLC3856850182,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3856850188,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3856850190,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC3856850192,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3856850206,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3856850228,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC3856850240,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC3856850252,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC3856850262,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3856871920,A,A,A,A,A,A,A,A,A,A,A,A,A
MLC3856871922,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3856871936,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC3856871942,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3856871944,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3856871948,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC3856871950,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3856871954,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3856871968,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC3856871972,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3856871982,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3856871988,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC3856872022,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC3856872036,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3856884968,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3856884970,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC3856884974,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC3856884980,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC3856884982,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3856884984,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3856884988,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC3856884990,A,A,A,A,A,A,A,A,A,A,A,A,A
MLC3856884992,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC3856885010,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC3856885018,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3856885028,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3856885036,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC3856885050,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC3856885072,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3856885080,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3856885082,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3856897652,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3856897654,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC3856897656,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC3856897660,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC3856897664,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC3856897668,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC3856897684,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC3856897686,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC3856897706,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3856897716,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3856897732,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC3856897736,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3856897742,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3856897746,A,A,A,A,A,A,A,A,A,A,A,A,A
MLC3856897756,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC3856897788,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3856909348,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3856909350,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3856909352,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC3856909358,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC3856909360,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC3856909370,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC3856909380,A,A,A,A,A,A,A,A,A,A,A,A,A
MLC3856909384,A,A,A,A,A,A,A,A,A,A,A,A,A
MLC3856909388,A,A,A,A,A,A,A,A,A,A,A,A,A
MLC3856909398,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC3856909418,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC3856909442,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3856909472,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3856909476,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3856922450,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3856922454,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC3856922470,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3856922474,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3856922482,A,A,A,A,A,A,A,A,A,A,A,A,A
MLC3856922486,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3856922490,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC3856922504,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3856922522,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3856922524,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC3856922582,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3856935082,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3856935086,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3856935088,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3856935092,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3856935094,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3856935100,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3856935110,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3856935118,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC3856935122,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3856935124,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC3856935126,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3856935128,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3856935140,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3856935146,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3856935166,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3856935170,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC3856935172,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3856935196,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC3856935212,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3856943700,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC3856943702,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC3856943708,A,A,A,A,A,A,A,A,A,A,A,A,A
MLC3856943710,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC3856943716,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3856943730,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC3856943734,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3856943750,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3856943782,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC3856943792,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3856943800,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3856943802,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3856943812,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3856943820,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC3856956648,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC3856956650,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3856956654,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3856956674,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3856956676,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC3856956688,A,A,A,A,A,A,A,A,A,A,A,A,A
MLC3856956690,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3856956722,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3856956764,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC3856969738,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3856969750,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3856969768,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3856969828,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC3936734218,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3936773372,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3936773374,A,A,A,A,A,A,A,A,A,A,A,A,A
MLC3945379858,A,A,A,A,A,A,A,A,A,A,A,A,A
MLC3945446488,A,A,A,A,A,A,A,A,A,A,A,A,A
MLC3945752680,A,A,A,A,A,A,A,A,A,A,A,A,A
MLC3945754710,A,A,A,A,A,A,A,A,A,A,A,A,A
MLC3945755342,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3946823992,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3951882858,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3960430484,A,A,A,A,A,A,A,A,A,A,A,A,A
MLC3960455936,A,A,A,A,A,A,A,A,A,A,A,A,A
MLC3964323930,A,A,A,A,A,A,A,A,A,A,A,A,A
MLC3964479062,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC3965075234,A,A,A,A,A,A,A,A,A,A,A,A,A
MLC3968076530,A,A,A,A,A,A,A,A,A,A,A,A,A
MLC3968095692,A,A,A,A,A,A,A,A,A,A,A,A,A
MLC3994367164,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC4029203790,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC4029205684,A,A,A,A,A,A,A,A,A,A,A,A,A
MLC4029229406,A,A,A,A,A,A,A,A,A,A,A,A,A
MLC4029242122,A,A,A,A,A,A,A,A,A,A,A,A,A
MLC4031342472,B,B,B,B,B,B,B,B,B,B,B,B,B
MLC4031965378,C,C,C,C,C,C,C,C,C,C,C,C,C
MLC4031978584,A,A,A,A,A,A,A,A,A,A,A,A,A
MLC4032146998,A,A,A,A,A,A,A,A,A,A,A,A,A
