variante,tipo_evaluacion,factor_preprocesamiento,factor_asignacion,preprocesamiento,inicializacion,asignacion,n_init,random_state,max_iter,tol,convergio,motivo_termino,iteraciones,mejor_iteracion,inercia_nativa,corridas_convergentes,corridas_descartadas,tiempo_segundos,cantidad_A,cantidad_B,cantidad_C,silhouette_nativo,davies_bouldin_nativo,calinski_harabasz_nativo,inercia_espacio_comun_minmax,silhouette_espacio_comun_minmax,davies_bouldin_espacio_comun_minmax,calinski_harabasz_espacio_comun_minmax,coincidencia_vs_actual_pct,adjusted_rand_index_vs_actual,publicaciones_diferentes_vs_actual,ventas_clase_A_pct,ventas_clase_B_pct,ventas_clase_C_pct,visitas_clase_A_pct,visitas_clase_B_pct,visitas_clase_C_pct
standard_hungarian,diseno_factorial_2x2,standard,hungarian,log1p + StandardScaler,"inicialización actual por zonas alta, media y baja",linear_sum_assignment,10,42.0,300,4.2079886696066345e-06,True,center_shift,9,9,1345.1494045682039,10,0,4.800721699997666,166,250,416,0.370716590316574,1.1091268189937613,354.62794704176787,17.345263938780906,0.34615743285900563,1.8703641466069942,332.84466380079107,100.0,1.0,0,100.0,0.0,0.0,81.41162745479292,13.882947695897336,4.7054248493097415
qaffas_completo,comparacion_metodos_completos,minmax,qaffas,"MinMaxScaler [0,1] sin log1p","A=máximo Ω, B=mediana de Ω, C=mínimo Ω",preferencias por distancia con capacidad máxima,1,,300,4.2079886696066345e-06,True,no_objective_improvement,2,1,19.570312631876874,1,0,0.025408400004380383,166,250,416,0.2124194639396249,6.173530237668634,247.8752359351543,19.570312631876874,0.2124194639396249,6.173530237668634,247.8752359351543,30.16826923076923,0.17819889375457357,581,65.85365853658537,0.0,34.146341463414636,58.9539179467237,14.427377017305073,26.618705035971225
