variante,tipo_evaluacion,factor_preprocesamiento,factor_asignacion,preprocesamiento,inicializacion,asignacion,n_init,random_state,max_iter,tol,convergio,motivo_termino,iteraciones,mejor_iteracion,inercia_nativa,corridas_convergentes,corridas_descartadas,tiempo_segundos,cantidad_A,cantidad_B,cantidad_C,silhouette_nativo,davies_bouldin_nativo,calinski_harabasz_nativo,inercia_espacio_comun_minmax,silhouette_espacio_comun_minmax,davies_bouldin_espacio_comun_minmax,calinski_harabasz_espacio_comun_minmax,coincidencia_vs_actual_pct,adjusted_rand_index_vs_actual,publicaciones_diferentes_vs_actual,ventas_clase_A_pct,ventas_clase_B_pct,ventas_clase_C_pct,visitas_clase_A_pct,visitas_clase_B_pct,visitas_clase_C_pct
standard_hungarian,diseno_factorial_2x2,standard,hungarian,log1p + StandardScaler,"inicialización actual por zonas alta, media y baja",linear_sum_assignment,10,42.0,300,4.2079886696066345e-06,True,center_shift,9,9,1345.1494045682039,10,0,4.800721699997666,166,250,416,0.370716590316574,1.1091268189937613,354.62794704176787,17.345263938780906,0.34615743285900563,1.8703641466069942,332.84466380079107,100.0,1.0,0,100.0,0.0,0.0,81.41162745479292,13.882947695897336,4.7054248493097415
standard_qaffas_assignment,diseno_factorial_2x2,standard,qaffas,log1p + StandardScaler,"inicialización actual por zonas alta, media y baja",preferencias por distancia con capacidad máxima,10,42.0,300,4.2079886696066345e-06,True,labels_stable,4,4,1443.420616627491,10,0,0.5637175000010757,166,250,416,0.34771110202275773,1.214350136218248,302.2640451314132,20.152839674617645,0.36940397424169924,2.0862715602984667,228.7289769660032,93.99038461538461,0.8591507014412515,50,100.0,0.0,0.0,86.99202799922224,8.185883725452072,4.822088275325685
minmax_hungarian,diseno_factorial_2x2,minmax,hungarian,"MinMaxScaler [0,1] sin log1p","inicialización actual por zonas alta, media y baja",linear_sum_assignment,10,42.0,300,4.2079886696066345e-06,True,center_shift,4,4,13.789353654771908,10,0,2.1095312999968883,166,250,416,0.4744168606829824,0.8394686661428147,525.5651235294347,13.789353654771908,0.4744168606829824,0.8394686661428147,525.5651235294347,34.13461538461539,0.24851296699704717,548,13.821138211382115,80.48780487804879,5.691056910569105,37.58506708146996,48.901419405016526,13.513513513513514
minmax_qaffas_assignment,diseno_factorial_2x2,minmax,qaffas,"MinMaxScaler [0,1] sin log1p","inicialización actual por zonas alta, media y baja",preferencias por distancia con capacidad máxima,10,42.0,300,4.2079886696066345e-06,True,labels_stable,6,6,15.84394999935267,9,1,0.4306787999958033,166,250,416,0.4412636646369901,1.1738553490646984,403.6602723685573,15.84394999935267,0.4412636646369901,1.1738553490646984,403.6602723685573,50.72115384615385,0.37340245756313917,410,1.6260162601626018,87.8048780487805,10.569105691056912,13.202411044137662,66.14816255104024,20.649426404822087
