id_ejecucion,servicio,endpoint,publicaciones,repeticion,http_status,latencia_total_s,tiempo_interno_s,publicaciones_por_segundo,memoria_base_mb,memoria_pico_mb,incremento_memoria_mb,conteo_A,conteo_B,conteo_C,iteraciones,inercia,silueta
services-performance-20260807T012830226406Z-d0b73d1298,clasificacion,/api/clasificar,100,9,200,1.1511856,,86.866966,160.168,160.168,0.0,20,30,50,3,179.06272005244122,0.29760335004172406
services-performance-20260807T012830226406Z-d0b73d1298,clasificacion,/api/clasificar,100,10,200,0.6332403,,157.917934,160.168,160.168,0.0,20,30,50,3,179.06272005244122,0.29760335004172406
services-performance-20260807T012830226406Z-d0b73d1298,clasificacion,/api/clasificar,250,1,200,1.2940302,,193.194873,161.453,161.922,0.469,50,75,125,7,396.59344096606713,0.3553051086445327
services-performance-20260807T012830226406Z-d0b73d1298,clasificacion,/api/clasificar,250,2,200,1.4065033,,177.745761,161.922,161.922,0.0,50,75,125,7,396.59344096606713,0.3553051086445327
services-performance-20260807T012830226406Z-d0b73d1298,clasificacion,/api/clasificar,250,3,200,0.9824601,,254.46326,161.922,161.922,0.0,50,75,125,7,396.59344096606713,0.3553051086445327
services-performance-20260807T012830226406Z-d0b73d1298,clasificacion,/api/clasificar,250,4,200,1.2368082,,202.133201,161.922,161.922,0.0,50,75,125,7,396.59344096606713,0.3553051086445327
services-performance-20260807T012830226406Z-d0b73d1298,clasificacion,/api/clasificar,250,5,200,1.6456678,,151.914013,161.922,161.922,0.0,50,75,125,7,396.59344096606713,0.3553051086445327
services-performance-20260807T012830226406Z-d0b73d1298,clasificacion,/api/clasificar,250,6,200,1.2879596,,194.105467,161.922,161.922,0.0,50,75,125,7,396.59344096606713,0.3553051086445327
services-performance-20260807T012830226406Z-d0b73d1298,clasificacion,/api/clasificar,250,7,200,1.0142731,,246.481939,161.922,161.984,0.062,50,75,125,7,396.59344096606713,0.3553051086445327
services-performance-20260807T012830226406Z-d0b73d1298,clasificacion,/api/clasificar,250,8,200,0.9882337,,252.976599,161.984,161.984,0.0,50,75,125,7,396.59344096606713,0.3553051086445327
services-performance-20260807T012830226406Z-d0b73d1298,clasificacion,/api/clasificar,250,9,200,1.052308,,237.57303,161.93,161.93,0.0,50,75,125,7,396.59344096606713,0.3553051086445327
services-performance-20260807T012830226406Z-d0b73d1298,clasificacion,/api/clasificar,250,10,200,1.1196883,,223.276424,161.93,161.93,0.0,50,75,125,7,396.59344096606713,0.3553051086445327
services-performance-20260807T012830226406Z-d0b73d1298,clasificacion,/api/clasificar,500,1,200,1.7036497,,293.487564,162.652,166.473,3.82,100,150,250,5,813.9074062140483,0.3692467300612786
services-performance-20260807T012830226406Z-d0b73d1298,clasificacion,/api/clasificar,500,2,200,1.7380306,,287.681931,162.68,166.5,3.82,100,150,250,5,813.9074062140483,0.3692467300612786
services-performance-20260807T012830226406Z-d0b73d1298,clasificacion,/api/clasificar,500,3,200,1.7682385,,282.767285,162.695,166.516,3.82,100,150,250,5,813.9074062140483,0.3692467300612786
services-performance-20260807T012830226406Z-d0b73d1298,clasificacion,/api/clasificar,500,4,200,1.775465,,281.616365,162.699,166.52,3.82,100,150,250,5,813.9074062140483,0.3692467300612786
services-performance-20260807T012830226406Z-d0b73d1298,clasificacion,/api/clasificar,500,5,200,1.8720014,,267.093817,162.699,166.52,3.82,100,150,250,5,813.9074062140483,0.3692467300612786
services-performance-20260807T012830226406Z-d0b73d1298,clasificacion,/api/clasificar,500,6,200,1.7364717,,287.940195,162.703,166.523,3.82,100,150,250,5,813.9074062140483,0.3692467300612786
