bootstrap_id,sample_seed,n_total,n_unicos_muestra,cobertura_muestra,n_fuera_muestra,proporcion_fuera_muestra,n_asignaciones_ambiguas,n_comparables,proporcion_comparable,iteraciones,inercia,silhouette,davies_bouldin,calinski_harabasz,ari_referencia,coincidencia_referencia,jaccard_A,jaccard_B,jaccard_C,cantidad_A,cantidad_B,cantidad_C,tiempo_segundos,error
1,2026,832,529,0.6358173076923077,303,0.3641826923076923,0,529,0.6358173076923077,7,1351.9059884921878,0.37033313608856755,1.1258149139299347,350.78398335886175,0.953853258941467,0.9829867674858223,0.9292035398230089,0.9748427672955975,0.9774436090225563,166,250,416,5.315692000000126,
2,2027,832,509,0.6117788461538461,323,0.38822115384615385,4,505,0.6069711538461539,15,1307.3896913242856,0.37155008331192485,1.0911258079334816,376.8417146130606,0.8863343319973555,0.9623762376237623,0.897196261682243,0.9454545454545454,0.9285714285714286,166,250,416,4.663431799999671,
3,2028,832,535,0.6430288461538461,297,0.35697115384615385,0,535,0.6430288461538461,7,1324.7485837302115,0.37875680060515354,1.1067352822559966,366.47233898284935,0.9470079203199241,0.9813084112149533,0.9279279279279279,0.9757575757575757,0.9702602230483272,166,250,416,4.050588800000696,
4,2029,832,537,0.6454326923076923,295,0.3545673076923077,0,537,0.6454326923076923,6,1340.7528511379896,0.3821671807496351,1.1305560360075508,357.1500465554647,0.9238096078523819,0.9739292364990689,0.926605504587156,0.9447852760736196,0.9605734767025089,166,250,416,5.261726299999282,
5,2030,832,530,0.6370192307692307,302,0.3629807692307693,1,529,0.6358173076923077,6,1335.8295716308185,0.37911089066611114,1.1191044862026631,359.994008795555,0.937323401066027,0.9716446124763705,0.8706896551724138,0.9263803680981595,0.9886792452830189,166,250,416,4.968145299999378,
6,2031,832,519,0.6237980769230769,313,0.37620192307692313,0,519,0.6237980769230769,3,1372.5331757202937,0.3643994616244254,1.124849536639777,339.2828726486371,0.9255047914575298,0.9691714836223507,0.8584070796460177,0.9444444444444444,0.9730769230769231,166,250,416,5.224606600000698,
7,2032,832,523,0.6286057692307693,309,0.3713942307692307,2,521,0.6262019230769231,9,1341.3408101968146,0.3842024156894216,1.1155349903907985,356.81180393161605,0.9749953051428912,0.9904030710172744,0.9523809523809523,0.9879518072289156,0.9882352941176471,166,250,416,5.750009999999747,
8,2033,832,533,0.640625,299,0.359375,1,532,0.6394230769230769,11,1374.6811191472016,0.34860287177539345,1.1593294541772818,338.1050846190577,0.9364477191638467,0.9774436090225563,0.9385964912280702,0.9423076923076923,0.9708029197080292,166,250,416,7.1820368000007875,
9,2034,832,535,0.6430288461538461,297,0.35697115384615385,0,535,0.6430288461538461,8,1338.635075925789,0.36472830469192286,1.1155804228958421,358.3708283581207,0.9463492874523448,0.9794392523364486,0.9137931034482759,0.9627329192546584,0.9776951672862454,166,250,416,5.041412100001253,
10,2035,832,516,0.6201923076923077,316,0.3798076923076923,1,515,0.6189903846153846,7,1325.9883758795854,0.3770144451725589,1.1120302124708559,365.7421339581581,0.9156882818413892,0.9728155339805825,0.9528301886792453,0.935064935064935,0.9516728624535316,166,250,416,4.726286600000094,
