metrica,valor_referencia,n_validos,media,desviacion_estandar,mediana,ic_inferior,ic_superior,minimo,maximo
silhouette,0.370716590316574,100,0.36895772048382974,0.009736619020820165,0.36920387586394354,0.3488673228052902,0.38590858439971776,0.3461447951656907,0.392956523701337
davies_bouldin,1.1091268189937613,100,1.1142872093087,0.029564884904113728,1.1133339721388584,1.0628066730546932,1.185099415149138,1.0333015487908328,1.1985886442797986
calinski_harabasz,354.62794704176787,100,355.890234658872,20.08716263438294,354.89583648475343,320.05634870410154,396.4734569281665,304.76585580301605,413.75650617919575
inercia,1345.1494045682039,100,1343.844921718016,34.872851554799965,1344.6830728840496,1275.741782072681,1408.4585565105021,1249.1202813155592,1438.3999902858463
ari_referencia,1.0,100,0.9286748615709114,0.0379106257956752,0.933703727653548,0.8316544832014245,0.9770335602974624,0.8004722947731673,0.9942337546886056
coincidencia_referencia,1.0,100,0.9741771590531563,0.013799977398745835,0.976922308804657,0.9415153422415343,0.9914242240364812,0.9248554913294798,0.998046875
jaccard_A,1.0,100,0.9160092880171934,0.04183564909309179,0.9255797853928696,0.8098870056497176,0.9721070624891812,0.7711864406779662,0.9903846153846154
jaccard_B,1.0,100,0.9483266391014922,0.034596005609173565,0.9566559312936125,0.8611445783132531,0.9937728119903704,0.847457627118644,1.0
jaccard_C,1.0,100,0.9652905940129783,0.020540481606613356,0.9661649353402586,0.9081495611828498,0.9943801250663677,0.8970588235294118,0.9961389961389961
cobertura_muestra,,100,0.6321033653846154,0.01037750252597576,0.6310096153846154,0.6117788461538461,0.6514423076923077,0.6081730769230769,0.6634615384615384
proporcion_comparable,,100,0.630360576923077,0.010133230335846913,0.6298076923076923,0.6099459134615385,0.6502403846153846,0.6069711538461539,0.6550480769230769
iteraciones,9.0,100,7.0,2.494438257849294,7.0,3.0,12.0,3.0,15.0
tiempo_segundos,,100,5.371290457000123,1.0665197141776839,5.187440950000564,3.765544202500314,7.469931847499673,3.126947700000528,8.745734899999661
